# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC1p1.yoda/MC_BC/h_rap_1p0
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC1p1.yoda/MC_BC/h_rap_1p0
LogY=0
XLabel=$p_\perp$
YLabel=d$\sigma[pb]$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC1p1.yoda/MC_BC/h_rap_1p0
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC1p1.yoda/MC_BC/h_rap_1p0
ScaledBy=4.96388581786664599e+03
Title=${}^1P_1$
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.600000e+00	-6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.400000e+00	-6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.200000e+00	-6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.000000e+00	-5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.800000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.400000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-5.000000e+00	2.481943e+04	2.481943e+04	2.481943e+04
-5.000000e+00	-4.800000e+00	2.481943e+04	2.481943e+04	2.481943e+04
-4.800000e+00	-4.600000e+00	2.481943e+04	2.481943e+04	2.481943e+04
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	2.481943e+04	2.481943e+04	2.481943e+04
